Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP
2023,ACUTUS MEDICAL INC,0,0,1,0,54,6615,CA,CARLSBAD,92008
2023,AD NET,0,0,2,0,54,7350,CA,LOS ANGELES,90067
2023,ADARA NETWORKS INC,0,0,1,0,54,6758,CA,SAN JOSE,95110
2023,ADDFORCE INC,0,0,1,0,54,6700,CA,CONCORD,94520
2023,ADEPT CHIP TECHNOLOGIES INC,3,0,1,0,54,1042,CA,SUNNYVALE,94085
2023,ADEPT CONSULTING GROUP INC,3,0,0,0,54,1134,CA,DANVILLE,94506
2023,"ADICET BIO, INC",0,0,2,0,54,1140,CA,REDWOOD CITY,94065
2023,ADIN TECHNOLOGIES INC,0,0,1,0,54,9673,CA,DUBLIN,94568
2023,ADISOLS LLC,15,0,0,0,54,8670,CA,FRESNO,93721
2023,ADITUM BIO MANAGEMENT CO LLC,0,0,1,0,51,9123,CA,OAKLAND,94607
2023,ADMEDES INC,0,0,0,1,33,7966,CA,LIVERMORE,94551
